 player_id |        player_name         | team_id |         team_name         |  season   | player_goals | team_total_goals | share_pct 
    231176 | Leonardo Pavoletti         |   10233 | Genoa                     | 2015/2016 |           15 |               48 |      31.3
     30881 | Alberto Gilardino          |    8535 | Fiorentina                | 2009/2010 |           15 |               48 |      31.3
     37412 | Sergio Aguero              |    9906 | Atlético Madrid           | 2010/2011 |           20 |               64 |      31.3
     23934 | Kevin Davies               |    8559 | Bolton Wanderers          | 2008/2009 |           15 |               48 |      31.3
     30829 | Wayne Rooney               |   10260 | Manchester United         | 2011/2012 |           29 |               93 |      31.2
     33028 | Aritz Aduriz               |    8315 | Athletic Club de Bilbao   | 2012/2013 |           14 |               45 |      31.1
     39706 | Giuseppe Mascara           |    8530 | Catania                   | 2008/2009 |           13 |               42 |      31.0
     37506 | Roberto Soldado            |   10267 | Valencia CF               | 2011/2012 |           18 |               58 |      31.0
    166648 | Carlos Bacca               |    8302 | Sevilla FC                | 2014/2015 |           22 |               71 |      31.0
     96652 | Ruben Castro               |    8603 | Real Betis Balompié       | 2012/2013 |           18 |               58 |      31.0
    184138 | Antoine Griezmann          |    9906 | Atlético Madrid           | 2014/2015 |           22 |               71 |      31.0
     30284 | Massimo Maccarone          |    8551 | Siena                     | 2009/2010 |           13 |               42 |      31.0
    248689 | Michy Batshuayi            |    8592 | Olympique de Marseille    | 2015/2016 |           17 |               55 |      30.9
     32747 | Fabrizio Miccoli           |    8540 | Palermo                   | 2011/2012 |           16 |               52 |      30.8
     27665 | David Di Michele           |    9888 | Lecce                     | 2011/2012 |           12 |               39 |      30.8
     33881 | Jonathan Walters           |   10194 | Stoke City                | 2012/2013 |           12 |               39 |      30.8
     30988 | Kenwyne Jones              |    8472 | Sunderland                | 2008/2009 |           11 |               36 |      30.6
    150565 | Pierre-Emerick Aubameyang  |    9789 | Borussia Dortmund         | 2015/2016 |           26 |               85 |      30.6
     71605 | Anthony Modeste            |    7794 | SC Bastia                 | 2012/2013 |           15 |               49 |      30.6
    210184 | Wissam Ben Yedder          |    9941 | Toulouse FC               | 2012/2013 |           15 |               49 |      30.6
     40636 | Luis Suarez                |    8650 | Liverpool                 | 2013/2014 |           32 |              105 |      30.5
     35421 | German Denis               |    8524 | Atalanta                  | 2013/2014 |           14 |               46 |      30.4
     93471 | Bruno Grougi               |    8521 | Stade Brestois 29         | 2010/2011 |            7 |               23 |      30.4
    109491 | Jay Rodriguez              |    8466 | Southampton               | 2013/2014 |           17 |               56 |      30.4
     46289 | Imanol Agirretxe           |    8560 | Real Sociedad             | 2015/2016 |           14 |               46 |      30.4
     33030 | Fernando Llorente          |    8315 | Athletic Club de Bilbao   | 2008/2009 |           14 |               46 |      30.4
     75474 | Javier Camunas             |    8479 | RC Recreativo             | 2008/2009 |           10 |               33 |      30.3
     91560 | Modibo Maiga               |    9874 | FC Sochaux-Montbéliard    | 2010/2011 |           10 |               33 |      30.3
     75310 | Alvaro Negredo             |    8302 | Sevilla FC                | 2010/2011 |           20 |               66 |      30.3
     38098 | Andre-Pierre Gignac        |    8592 | Olympique de Marseille    | 2012/2013 |           13 |               43 |      30.2
     41622 | Felipe Caicedo             |    8581 | Levante UD                | 2010/2011 |           13 |               43 |      30.2
    154280 | Jordan Ayew                |    8689 | FC Lorient                | 2014/2015 |           13 |               43 |      30.2
     38578 | Sergio Garcia              |    8558 | RCD Espanyol              | 2013/2014 |           13 |               43 |      30.2
    178812 | Andre Schuerrle            |    9905 | 1. FSV Mainz 05           | 2010/2011 |           16 |               53 |      30.2
    150201 | Luuk de Jong               |    8640 | PSV                       | 2014/2015 |           19 |               63 |      30.2
     30893 | Cristiano Ronaldo          |    8633 | Real Madrid CF            | 2013/2014 |           31 |              103 |      30.1
     93447 | Robert Lewandowski         |    9789 | Borussia Dortmund         | 2012/2013 |           25 |               83 |      30.1
     38098 | Andre-Pierre Gignac        |    8592 | Olympique de Marseille    | 2014/2015 |           22 |               73 |      30.1
     96540 | Sebastian Giovinco         |   10167 | Parma                     | 2011/2012 |           15 |               50 |      30.0
     33639 | Samuel Eto'o               |    8634 | FC Barcelona              | 2008/2009 |           33 |              110 |      30.0
    297579 | Diego Rolan                |    9827 | Girondins de Bordeaux     | 2014/2015 |           15 |               50 |      30.0
     26394 | Eric Mouloungui            |    9831 | OGC Nice                  | 2010/2011 |            6 |               20 |      30.0
     37558 | Dimitar Rangelov           |    8398 | FC Energie Cottbus        | 2008/2009 |            9 |               30 |      30.0
     96652 | Ruben Castro               |    8603 | Real Betis Balompié       | 2013/2014 |           12 |               40 |      30.0
    179845 | Romain Hamouma             |    7819 | SM Caen                   | 2010/2011 |            9 |               30 |      30.0
     58294 | Cristian Stuani            |    8696 | Racing Santander          | 2011/2012 |            9 |               30 |      30.0
     20694 | Shinji Okazaki             |    9905 | 1. FSV Mainz 05           | 2013/2014 |           15 |               50 |      30.0
     38817 | Carlos Tevez               |    8456 | Manchester City           | 2009/2010 |           23 |               77 |      29.9
     26163 | Hatem Ben Arfa             |    9831 | OGC Nice                  | 2015/2016 |           17 |               57 |      29.8
     35411 | Demba Ba                   |   10261 | Newcastle United          | 2012/2013 |           14 |               47 |      29.8
    352968 | Sebastien Haller           |    9908 | FC Utrecht                | 2015/2016 |           17 |               57 |      29.8
     24456 | Simone Tiribocchi          |    8524 | Atalanta                  | 2009/2010 |           11 |               37 |      29.7
     23853 | Walter Pandiani            |    8371 | CA Osasuna                | 2009/2010 |           11 |               37 |      29.7
     24448 | Sergio Pellissier          |    8533 | Chievo Verona             | 2009/2010 |           11 |               37 |      29.7
     39987 | Loic Remy                  |    8592 | Olympique de Marseille    | 2010/2011 |           11 |               37 |      29.7
     41294 | David Barral               |    8581 | Levante UD                | 2014/2015 |           11 |               37 |      29.7
     24383 | Diego Castro               |    9869 | Real Sporting de Gijón    | 2009/2010 |           11 |               37 |      29.7
     33030 | Fernando Llorente          |    8315 | Athletic Club de Bilbao   | 2009/2010 |           16 |               54 |      29.6
     39225 | Rickie Lambert             |    8466 | Southampton               | 2012/2013 |           16 |               54 |      29.6
     30853 | Fernando Torres            |    8650 | Liverpool                 | 2009/2010 |           18 |               61 |      29.5
    127857 | Amr Zaki                   |    8528 | Wigan Athletic            | 2008/2009 |           10 |               34 |      29.4
     49677 | Edinson Cavani             |    8540 | Palermo                   | 2008/2009 |           15 |               51 |      29.4
     30638 | Miroslav Klose             |    8543 | Lazio                     | 2012/2013 |           15 |               51 |      29.4
